Name,Location,Mode of Delivery,Global Ranking,Institution Type
University of North Dakota,"Grand Forks, United States",Online / On campus,1791,Public
The University of Vermont,"Burlington, United States",Online / On campus / Blended,805,Public
University of Notre Dame,Multiple locations,Online / On campus,244,Unknown
Northern Arizona University,Multiple locations,Online / On campus,1039,Public
Wright State University,Multiple locations,Online / On campus / Blended,2029,Public
Missouri University of Science and Technology,"Rolla, United States",Online / On campus,610,Unknown
University of Wisconsin Milwaukee,"Milwaukee, United States",Online / On campus,714,Public
The University of New Mexico,"Albuquerque, United States",Online / On campus / Blended,408,Public
IQS - Ramon Llull University,Multiple locations,On campus,990,Private
University of Nebraska Medical Center,"Omaha, United States",Online / On campus,1119,Public
Indiana University Northwest,Multiple locations,Online / On campus / Blended,1143,Public
Florida Institute of Technology,"Melbourne, United States",Online / On campus,1164,Private
Purdue University Fort Wayne,"Fort Wayne, United States",On campus,Not ranked,Public
Claremont Graduate University (CGU),"Claremont, United States",Online / On campus / Blended,2093,Private
East Tennessee State University,"Johnson City, United States",Online / On campus / Blended,2108,Public
Appalachian State University,"Boone, United States",Online / On campus / Blended,2076,Public
Texas Christian University,"Fort Worth, United States",Online / On campus,1904,Unknown
New Mexico Institute of Mining and Technology,"Socorro, United States",On campus,Not ranked,Public
Southeastern Louisiana University,"Hammond, United States",Online / On campus / Blended,Not ranked,Public
Chadron State College,"Chadron, United States",Online / On campus / Blended,Not ranked,Public
Florida Polytechnic University,"Lakeland, United States",On campus,Not ranked,Public
ISDI - Digital Business School,Multiple locations,On campus,Not ranked,Private
SUNY Maritime College,"New York City, United States",Online / On campus / Blended,Not ranked,Public
Manhattanville College,"Harrison, United States",Online / On campus / Blended,Not ranked,Private
University of San Francisco,Multiple locations,Online / On campus / Blended,1889,Private
ITMO University,Multiple locations,Online / On campus,641,Public
Texas A&M University,Multiple locations,Online / On campus / Blended,150,Private
Bahçeşehir University (BAU),Multiple locations,On campus,941,Private
Agnes Scott College,"Decatur, United States",Online / On campus / Blended,Not ranked,Private
American International College,"Springfield, United States",Online / On campus / Blended,Not ranked,Private
University of Wisconsin - River Falls,"River Falls, United States",Online / On campus / Blended,Not ranked,Private
Southern Oregon University,"Ashland, United States",Online / On campus,Not ranked,Public
Belmont University,"Nashville, United States",Online / On campus / Blended,Not ranked,Private
Ramapo College of New Jersey,"Ramsey, United States",Online / On campus / Blended,Not ranked,Public
Midway University,"Midway, United States",Online / On campus,Not ranked,Private
Niagara University,"New York City, United States",Online / On campus / Blended,Not ranked,Unknown
Soka University of America,"Aliso Viejo, United States",On campus,Not ranked,Private
University of Central Oklahoma,"Edmond, United States",Online / On campus,2050,Public
Boston Graduate School of Psychoanalysis,"Brookline, United States",On campus,Not ranked,Private
University of Wisconsin-Parkside,"Kenosha, United States",Online / On campus,Not ranked,Public
McDaniel College,"Westminster, United States",Online / On campus / Blended,Not ranked,Private
New York Film Academy,Multiple locations,Online / On campus,Not ranked,Private
University of Wisconsin Oshkosh,"Oshkosh, United States",Online / On campus / Blended,Not ranked,Public
Drury University,"Springfield, United States",Online / On campus / Blended,Not ranked,Private
Fairfield University,"Fairfield, United States",Online / On campus / Blended,Not ranked,Private
Eastern Connecticut State University,"Windham, United States",Online / On campus,Not ranked,Public
Saint Michael's College,"Colchester, United States",Online / On campus,Not ranked,Private
Troy University,"Troy, United States",Online / On campus / Blended,Not ranked,Public
Merrimack College,"Andover, United States",Online / On campus / Blended,Not ranked,Unknown
Nicholls State University,"Thibodaux, United States",Online / On campus,Not ranked,Public
Bard College,Multiple locations,On campus / Blended,Not ranked,Public
Alabama State University,"Montgomery, United States",Online / On campus / Blended,Not ranked,Public
Logan University,"Chesterfield, United States",Online / On campus / Blended,Not ranked,Private
University of Colorado Colorado Springs (UCCS),"Colorado Springs, United States","Boston, United States",1751,Public
Fisher College,"Boston, United States",Online / On campus / Blended,Not ranked,Private
Campbell University,"Dunn, United States",Online / On campus / Blended,Not ranked,Private
Pacific Lutheran University,"Tacoma, United States",On campus,Not ranked,Private
Curry College,Multiple locations,Online / On campus / Blended,Not ranked,Private
Shawnee State University,"Portsmouth, United States",Online / On campus / Blended,Not ranked,Public
The Juilliard School,"Manhattan, United States",On campus,Not ranked,Private
Point Park University,"Pittsburgh, United States",Online / On campus,Not ranked,Private
Tabor College,"Kansas City, United States",Online / On campus,Not ranked,Private
National Louis University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Central Washington University,"Ellensburg, United States",Online / On campus / Blended,Not ranked,Public
Elms College,"Chicopee, United States",Online / On campus / Blended,Not ranked,Private
Samford University,"Homewood, United States",Online / On campus,Not ranked,Private
Utah Valley University,"Orem, United States",Online / On campus / Blended,Not ranked,Public
Kansas Wesleyan University,"Salina, United States",Online / On campus / Blended,Not ranked,Private
Massachusetts College of Liberal Arts,"North Adams, United States",On campus / Blended,Not ranked,Public
Louisiana State University in Shreveport,"Shreveport, United States",Online / On campus,Not ranked,Public
Seattle Pacific University,"Seattle, United States",Online / On campus / Blended,Not ranked,Private
Johnson & Wales University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Elmhurst University,"Elmhurst, United States",Online / On campus / Blended,Not ranked,Private
Hillsdale College,"Hillsdale, United States",On campus,Not ranked,Private
Southern Nazarene University,"Bethany, United States",Online / On campus / Blended,Not ranked,Private
Westminster College New Wilmington,"New Castle, United States",Online / On campus,Not ranked,Private
Le Moyne College,"Syracuse, United States",On campus / Blended,Not ranked,Private
Westminster University,"Salt Lake City, United States",On campus,Not ranked,Private
Tiffin University,"Tiffin, United States",Online / On campus / Blended,Not ranked,Private
Bay Atlantic University,"Washington, D. C., United States",Online / On campus,Not ranked,Private
Massachusetts College of Art and Design,"Brookline, United States",On campus,Not ranked,Public
Wittenberg University,"Springfield, United States",Online / On campus / Blended,Not ranked,Private
Sweet Briar College,"Sweet Briar, United States",On campus,Not ranked,Private
Bethany Lutheran College,"Mankato, United States",Online / On campus / Blended,Not ranked,Private
Lehigh University,"Bethlehem, United States",Online / On campus / Blended,668,Private
Portland State University,"Portland, United States",Online / On campus / Blended,1139,Public
Golden Gate University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Northwestern University,Multiple locations,Online / On campus / Blended,23,Private
Columbia University,Multiple locations,Online / On campus,9,Public
University of Delaware,"Newark, United States",Online / On campus / Blended,342,Public
The University of North Carolina at Charlotte,"Charlotte, United States",Online / On campus / Blended,851,Public
Loyola University Chicago,"Evanston, United States",On campus,1192,Public
The University of Alabama,"Tuscaloosa, United States",Online / On campus / Blended,672,Public
Norwich University,"Northfield, United States",Online / On campus,Not ranked,Unknown
Santa Clara University,"Santa Clara, United States",Online / On campus,Not ranked,Public
Texas Tech University,Multiple locations,Online / On campus / Blended,586,Public
"University of California, San Diego","San Diego, United States",Online / On campus,27,Public
University of Nebraska-Lincoln,"Lincoln, United States",Online / On campus,374,Unknown
University of Wyoming,"Laramie, United States",Online / On campus,664,Public
SUNY - College of Environmental Science and Forestry,"Syracuse, United States",Online / On campus,1685,Unknown
Michigan State University,"East Lansing, United States",Online / On campus / Blended,122,Public
Drexel University,"Philadelphia, United States",Online / On campus / Blended,362,Private
Pennsylvania State University,Multiple locations,On campus / Blended,93,Public
Pepperdine University,"Malibu, United States",Online / On campus / Blended,Not ranked,Private
University of Scranton,"Scranton, United States",Online / On campus,Not ranked,Private
University of San Diego,"San Diego, United States",Online / On campus / Blended,1890,Private
Clark University,"Worcester, United States",Online / On campus / Blended,1069,Public
Creighton University,"Omaha, United States",Online / On campus / Blended,1315,Public
Auburn University,"Auburn, United States",Online / On campus,589,Public
University of Toronto,Multiple locations,Online / On campus / Blended,19,Public
Old Dominion University,"Norfolk, United States",Online / On campus / Blended,980,Public
University of North Carolina Greensboro,"Greensboro, United States",Online / On campus / Blended,1001,Public
Eastern Kentucky University,"Richmond, United States",Online / On campus / Blended,Not ranked,Public
Virginia Commonwealth University,Multiple locations,Online / On campus / Blended,405,Public
Marshall University,Multiple locations,"Raleigh, United States",Not ranked,Public
North Carolina State University,"Raleigh, United States",Online / On campus / Blended,251,Public
Naval Postgraduate School,"Monterey, United States",On campus,Not ranked,Unknown
University of South Dakota,"Vermillion, United States",Online / On campus / Blended,1506,Public
California State University Long Beach,"Long Beach, United States",On campus,2098,Public
University of Memphis,Multiple locations,Online / On campus / Blended,1089,Public
UT Health San Antonio,"Leon Valley, United States","Detroit, United States",1002,Public
Wayne State University,"Detroit, United States",Online / On campus,435,Public
Duquesne University,"Pittsburgh, United States",Online / On campus / Blended,2116,Private
DePaul University,"Chicago, United States",Online / On campus / Blended,2025,Private
DigiPen Institute of Technology,Multiple locations,On campus,Not ranked,Private
University of New Orleans,"New Orleans, United States",Online / On campus / Blended,Not ranked,Public
Walsh College,"Troy, United States",Online / On campus / Blended,Not ranked,Unknown
Virginia Wesleyan College,"Norfolk, United States",Online / On campus,Not ranked,Unknown
University of Michigan Flint,"Flint, United States",Online / On campus / Blended,Not ranked,Public
California University of Management and Sciences,"Stanton, United States",On campus,Not ranked,Private
Texas Southern University (TSU),"Texas City, United States",Online / On campus,Not ranked,Public
Wartburg College,"Waverly, United States",Online / On campus,Not ranked,Private
Middlebury Institute of International Studies,"Monterey, United States",Online / On campus,Not ranked,Private
University of Northwestern Ohio,"Lima, United States",Online / On campus,Not ranked,Private
SUM Bible College and Theological Seminary,"El Dorado Hills, United States",On campus,Not ranked,Private
Midland University,"Fremont, United States",Online / On campus / Blended,Not ranked,Private
Southwestern Adventist University,"Keene, United States",On campus,Not ranked,Private
Sonoran University of Health Sciences,"Tempe, United States",Online,Not ranked,Unknown
Post University,"Waterbury, United States",Online / On campus,Not ranked,Private
University of Phoenix,"Phoenix, United States",Online,Not ranked,Private
California State University Monterey Bay,"Seaside, United States",On campus,Not ranked,Public
Northern Michigan University,"Marquette, United States",Online / On campus / Blended,Not ranked,Public
Alliance University,"New York City, United States",On campus,Not ranked,Private
Chatham University,"Pittsburgh, United States",Online / On campus / Blended,Not ranked,Private
Chicago State University,"Chicago, United States",Online / On campus / Blended,Not ranked,Unknown
Maranatha Baptist University,"Watertown, United States",Online / On campus,Not ranked,Private
Sarah Lawrence College,"Bronxville, United States",On campus,Not ranked,Private
St. Thomas Aquinas College,"Tappan, United States",Online / On campus / Blended,Not ranked,Private
University of Saint Joseph,"West Hartford, United States",Online / On campus / Blended,Not ranked,Private
The Master's Seminary,"San Fernando, United States",On campus / Blended,Not ranked,Unknown
Albert Einstein College of Medicine,"Eastchester, United States",Online / On campus,1645,Unknown
American University of the Caribbean School of Medicine,"Cul de Sac, Sint Maarten",On campus,Not ranked,Private
Brenau University,"Gainesville, United States","Cincinnati, United States",Not ranked,Unknown
University of Cincinnati,"Cincinnati, United States",Online / On campus / Blended,669,Public
California University of Pennsylvania,Multiple locations,Online / On campus / Blended,Not ranked,Public
Yeshiva University,"New York City, United States",On campus,759,Private
SUNY Empire State College,"Saratoga Springs, United States",Online / On campus / Blended,Not ranked,Public
University of West Florida,Multiple locations,Online,Not ranked,Public
Frostburg State University,"Frostburg, United States",Online / On campus / Blended,Not ranked,Public
West Virginia University,"Morgantown, United States",Online / On campus,926,Public
Rensselaer Polytechnic Institute,"Troy, United States",On campus,472,Public
San Francisco State University,"San Francisco, United States",On campus,1680,Public
University of Texas at Dallas,"Richardson, United States",On campus,348,Public
"University of California, San Francisco","San Francisco, United States",Online / On campus,716,Public
Dartmouth College,"Hanover, United States",On campus / Blended,202,Private
Florida State University,Multiple locations,Online / On campus,290,Public
University of Maryland Global Campus,"Adelphi, United States",Online / Blended,Not ranked,Public
Georgetown University,"Washington, D. C., United States",Online / On campus / Blended,261,Private
Dominican University of California,"San Rafael, United States",Online / On campus / Blended,Not ranked,Private
The University of Montana,"Missoula, United States",Online / On campus / Blended,1267,Public
Hochschule Bremen,Multiple locations,On campus,Not ranked,Public
Brigham Young University,"Provo, United States",On campus,988,Public
University of Deusto,Multiple locations,On campus,1468,Private
MIP Politecnico Di Milano,Multiple locations,On campus,217,Private
UIC Barcelona,Multiple locations,Online / On campus,1395,Private
Howard University,"Washington, D. C., United States",Online / On campus,645,Private
La Salle University,"Philadelphia, United States",Online / On campus / Blended,Not ranked,Private
Massachusetts College of Pharmacy and Health Sciences,Multiple locations,Online / On campus / Blended,Not ranked,Private
Lake Forest College,"Lake Forest, United States","Pittsburg, United States",Not ranked,Private
Pittsburg State University,"Pittsburg, United States",Online / On campus,Not ranked,Public
New Mexico Highlands University,"Las Vegas, United States",Online / On campus,Not ranked,Public
Bellevue University,"Bellevue, United States",Online / On campus,Not ranked,Private
University of Houston Victoria,"Victoria, United States",Online / On campus,Not ranked,Unknown
Cedarville University,"Cedarville, United States",Online / On campus,Not ranked,Public
Calvin University,"Grand Rapids, United States",Online / On campus / Blended,Not ranked,Private
Rider University,"Lawrenceville, United States",Online / On campus / Blended,Not ranked,Private
Bridgewater College,"Bridgewater, United States",Online / On campus / Blended,Not ranked,Private
University of the District of Columbia,"Chevy Chase, United States",On campus,Not ranked,Public
Francis Marion University,"Florence, United States",Online / On campus,Not ranked,Public
Minot State University,"Minot, United States",Online / On campus,Not ranked,Public
McNeese State University,"Lake Charles, United States",Online / On campus / Blended,Not ranked,Public
California College of the Arts,"San Francisco, United States",On campus,Not ranked,Private
Western University of Health Sciences,"Pomona, United States",Online / On campus / Blended,Not ranked,Private
Saint Cloud State University,Multiple locations,Online / On campus / Blended,Not ranked,Public
Suny Cortland,"Cortland, United States",Online / On campus / Blended,Not ranked,Public
Greenville University,"Greenville, United States",Online / On campus,Not ranked,Private
Mount Saint Mary College,"Newburgh, United States",Online / On campus / Blended,Not ranked,Private
Pacific University Oregon,"Forest Grove, United States",Online / On campus / Blended,Not ranked,Private
Unification Theological Seminary,"Kingston, United States",Online / On campus,Not ranked,Private
Concordia University Wisconsin,"Mequon, United States",Online / On campus / Blended,Not ranked,Private
Reed College,"Portland, United States",On campus,Not ranked,Private
Purdue University Northwest,Multiple locations,Online / On campus / Blended,Not ranked,Public
University of North Georgia,"Dahlonega, United States",Online / On campus / Blended,Not ranked,Public
Concordia University Nebraska,"Seward, United States",Online / On campus,Not ranked,Private
SUNY Oneonta College,"Oneonta, United States",Online / On campus,Not ranked,Public
Pontifical John Paul II Institute,"Mount Rainier, United States",On campus,Not ranked,Private
Clarks Summit University,"Clarks Summit, United States",Online / On campus,Not ranked,Private
Davenport University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Wayne State College,"Wayne, United States",Online / On campus / Blended,Not ranked,Public
St. Mary's University,"Leon Valley, United States",Online / On campus / Blended,Not ranked,Private
Framingham State University,"Framingham, United States",Online / On campus / Blended,Not ranked,Public
Winona State University,"Winona, United States",Online / On campus / Blended,Not ranked,Public
Western Connecticut State University,"Danbury, United States",Online / On campus,Not ranked,Public
Delaware State University,Multiple locations,Online / On campus,Not ranked,Public
Radford University,"Radford, United States","Los Angeles, United States",Not ranked,Public
California State University Los Angeles,"Los Angeles, United States",Online / On campus / Blended,2049,Public
Sacred Heart Seminary and School of Theology,"Franklin, United States",Online / On campus,Not ranked,Unknown
"California State University, Fresno","Clovis, United States",Online / On campus,1551,Private
ECPI University,Multiple locations,Online / On campus,Not ranked,Private
The University of Texas Rio Grande Valley,"Brownsville, United States",Online / On campus,1076,Unknown
Trinity College,"Hartford, United States",On campus,Not ranked,Private
Regis University,"Denver, United States",Online / On campus / Blended,Not ranked,Private
Cameron University,"Lawton, United States",Online / On campus / Blended,Not ranked,Public
Southern Connecticut State University,"New Haven, United States",Online / On campus / Blended,Not ranked,Public
Curtis Institute of Music,"Philadelphia, United States",On campus,Not ranked,Private
South Baylo University,"Fullerton, United States",On campus,Not ranked,Unknown
St Andrews University,Multiple locations,Online / On campus,Not ranked,Private
Saint Mary's College of California,"Moraga, United States",Online / On campus / Blended,Not ranked,Private
Brooklyn Law School,"New York City, United States",On campus,Not ranked,Unknown
University of Montevallo,"Montevallo, United States",Online / On campus / Blended,Not ranked,Public
Bastyr University,Multiple locations,Online / On campus,Not ranked,Unknown
Cedar Crest College,"Allentown, United States",Online / On campus / Blended,Not ranked,Private
Franklin University,"Columbus, United States",Online / On campus,Not ranked,Private
La Roche University,"Allison Park, United States",Online / On campus / Blended,Not ranked,Private
Wesley Biblical Seminary,"Ridgeland, United States",Online / On campus,Not ranked,Unknown
New England Institute of Technology,"East Greenwich, United States",Online / On campus / Blended,Not ranked,Private
Dallas Theological Seminary,"Dallas, United States",Online / On campus,Not ranked,Unknown
Millikin University,"Decatur, United States",On campus,Not ranked,Private
American College of Acupuncture and Oriental Med,"Bellaire, United States",Online / On campus,Not ranked,Unknown
Gordon College,"Wenham, United States",Online / On campus / Blended,Not ranked,Private
Rockford University,"Rockford, United States",Online / On campus / Blended,Not ranked,Private
William James College,"Newton, United States",Online / On campus / Blended,Not ranked,Private
University of Southern Maine,"Gorham, United States",Online / On campus / Blended,Not ranked,Public
Acupuncture and Massage College,"Miami, United States",On campus,Not ranked,Private
Ashland University,"Ashland, United States",Online / On campus / Blended,Not ranked,Private
Nichols College,"Dudley, United States",Online / On campus,Not ranked,Private
Ohio Dominican University,"Columbus, United States",Online / On campus / Blended,Not ranked,Private
Fisk University,"Nashville, United States",On campus,Not ranked,Private
University of West Alabama,"Livingston, United States",Online / On campus,Not ranked,Public
Utah Tech University,"Saint George, United States",Online / On campus,Not ranked,Public
Grove City College,"Grove City, United States",Online / On campus,Not ranked,Private
Fairfax University of America,"Fairfax, United States",On campus,Not ranked,Private
Bergin University of Canine Studies,"Cotati, United States",On campus,Not ranked,Unknown
Southern California Seminary,"El Cajon, United States",Online / On campus,Not ranked,Private
Saginaw Valley State University,"Saginaw, United States",Online / On campus / Blended,Not ranked,Public
New England Conservatory of Music,"Boston, United States",On campus,Not ranked,Private
Goldey-Beacom College,"Wilmington, United States",On campus,Not ranked,Private
Anabaptist Mennonite Biblical Seminary,"Elkhart, United States",Online / On campus / Blended,Not ranked,Unknown
Claflin University,"Orangeburg, United States",Online / On campus,Not ranked,Private
Graduate Theological Union,"Berkeley, United States",Online / On campus,Not ranked,Private
United States University,"Mission Viejo, United States",Online / On campus,Not ranked,Private
Shorter University,"Rome, United States",Online / On campus,Not ranked,Private
Marymount University,"Arlington, United States",Online / On campus / Blended,Not ranked,Private
Goshen College,"Goshen, United States",Online / On campus / Blended,Not ranked,Private
Seton Hill University,"Greensburg, United States",Online / On campus / Blended,Not ranked,Private
The Citadel - The Military College of South Carolina,"Charleston, United States",Online / On campus,Not ranked,Public
Wilmington University,"New Castle, United States",Online / On campus / Blended,Not ranked,Private
University of Dubuque,"Dubuque, United States",Online / On campus,Not ranked,Private
Elon University,"Elon, United States",Online / On campus,Not ranked,Private
Brentwood University,"Laguna Woods, United States",Online / Blended,Not ranked,Unknown
Westminster Theological Seminary in California,"Escondido, United States",On campus,Not ranked,Private
State University of New York Plattsburgh,"Plattsburgh, United States",Online / On campus,Not ranked,Public
Cumberland University,"Lebanon, United States",Online / On campus / Blended,Not ranked,Private
McKendree University,Multiple locations,Online / On campus / Blended,Not ranked,Unknown
State University of New York Polytechnic Institute,"Utica, United States",Online / On campus / Blended,Not ranked,Public
Asbury Theological Seminary,"Nicholasville, United States",Online / On campus / Blended,Not ranked,Unknown
Point Loma Nazarene University,"Coronado, United States",Online / On campus / Blended,Not ranked,Private
Manchester University,"North Manchester, United States",Online / On campus,Not ranked,Private
Hendrix College,"Conway, United States",On campus,Not ranked,Unknown
Lynn University,"Boca Raton, United States",Online / On campus,Not ranked,Unknown
Atlantis University,"Miami, United States",Online / On campus,Not ranked,Private
St. Francis College,"New York City, United States",On campus,Not ranked,Private
University of Washington Bothell,"Bothell, United States",Online / On campus / Blended,Not ranked,Public
Earlham College,"Richmond, United States",On campus,Not ranked,Private
Utah State University,"Logan, United States",Online / On campus / Blended,993,Public
University of Massachusetts Amherst,"Amherst, United States",Online / On campus / Blended,176,Public
Tufts University,Multiple locations,Online / On campus / Blended,197,Private
Drew University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Oakland University,"Auburn Hills, United States",Online / On campus / Blended,1425,Public
Hofstra University,"Hempstead, United States",Online / On campus / Blended,1940,Private
University of Tennessee Health Science Center,"Memphis, United States",Online / On campus,1233,Public
Rush University,"Chicago, United States",Online / On campus / Blended,579,Private
Seattle University,"Seattle, United States",Online / On campus,1893,Private
Icahn School of Medicine at Mount Sinai,"Manhattan, United States",On campus,752,Public
Valdosta State University,"Valdosta, United States",Online / On campus / Blended,Not ranked,Public
Texas Tech University Health Sciences Center,Multiple locations,Online / On campus,2122,Public
Western Kentucky University,Multiple locations,Online / On campus,Not ranked,Public
Ball State University,"Muncie, United States",On campus,1562,Public
University of North Carolina Chapel Hill,"Chapel Hill, United States",Online / On campus / Blended,54,Public
LIU Post,Multiple locations,On campus,Not ranked,Public
Loyola Marymount University,"Los Angeles, United States",Online / On campus / Blended,Not ranked,Private
Fort Lewis College,"Durango, United States",Online / On campus / Blended,Not ranked,Public
Idaho State University,"Idaho Falls, United States",Online / On campus / Blended,2079,Public
West Liberty University,"Wheeling, United States",Online / On campus / Blended,Not ranked,Public
Western Oregon University,"Monmouth, United States",Online / On campus,Not ranked,Public
New York Medical College,"New York City, United States",Online / On campus,1556,Private
Barry University,"Miami, United States",Online / On campus / Blended,Not ranked,Private
Smith College,"Northampton, United States",On campus,Not ranked,Private
The University of Akron,Multiple locations,Online / On campus,1659,Public
Wheaton College Illinois,"Wheaton, United States",On campus,Not ranked,Private
William Paterson University of New Jersey,"Passaic, United States",Online / On campus / Blended,Not ranked,Public
Dickinson College,"Carlisle, United States",On campus,Not ranked,Public
University of Mary Hardin Baylor,"Belton, United States",Online / On campus / Blended,Not ranked,Private
State University of New York at Geneseo,"Geneseo, United States",On campus,Not ranked,Public
Meredith College,"Raleigh, United States",Online / On campus / Blended,Not ranked,Unknown
Aquinas Institute of Theology,"Saint Louis, United States",On campus / Blended,Not ranked,Private
Naropa University,"Boulder, United States",Online / On campus / Blended,Not ranked,Private
National Defense University,"Seattle, United States",On campus,Not ranked,Unknown
Southwest Minnesota State University,"Marshall, United States",Online / On campus / Blended,Not ranked,Public
Keck Graduate Institute,"Claremont, United States",Online / On campus,Not ranked,Public
Saint Martin's University,"Lacey, United States",Online / On campus / Blended,Not ranked,Private
The University of the Arts,"Philadelphia, United States",Online / On campus,Not ranked,Unknown
St. John’s Seminary,"Camarillo, United States",On campus,Not ranked,Private
Midwestern Baptist Theological Seminary,"Liberty, United States",Online / On campus,Not ranked,Private
Lincoln Memorial University,"Harrogate, United States",Online / On campus / Blended,Not ranked,Private
Cleary University,Multiple locations,Online,Not ranked,Unknown
Contemporary Technology University,Multiple locations,Online,Not ranked,Unknown
Arizona State University,Multiple locations,Online / On campus / Blended,146,Public
University of Florida,"Gainesville, United States",Online / On campus / Blended,121,Public
Ohio University,Multiple locations,Online / On campus / Blended,757,Public
University of Southern California,"Los Angeles, United States",Online / On campus / Blended,69,Public
Vanderbilt University,"Nashville, United States",Online / On campus,96,Private
University of South Florida,Multiple locations,Online / On campus / Blended,313,Public
University of Washington,Multiple locations,Online / On campus / Blended,29,Public
Boston College,Multiple locations,Online / On campus,401,Private
University of Michigan,"Ann Arbor, United States",Online / On campus / Blended,21,Public
Miami University,Multiple locations,Online / On campus / Blended,1711,Public
Stetson University,Multiple locations,Online / On campus,Not ranked,Unknown
University of Oklahoma,Multiple locations,Online / On campus / Blended,818,Public
New Jersey Institute of Technology,"Newark, United States",Online / On campus,622,Public
Florida Atlantic University,Multiple locations,Online / On campus / Blended,1058,Public
"University of Nevada, Reno","Reno, United States",Online / On campus,1212,Public
Ecole de Management de Normandie,Multiple locations,On campus,Not ranked,Private
University of Bordeaux,Multiple locations,Online / On campus,310,Public
California Institute of Integral Studies,"San Francisco, United States",Online / On campus / Blended,Not ranked,Private
Lincoln University Pennsylvania,"Oxford, United States",Online / On campus / Blended,Not ranked,Public
St. Catherine University,"Mendota Heights, United States",Online / On campus / Blended,Not ranked,Private
Houston Christian University,"Houston, United States",Online / On campus / Blended,Not ranked,Private
Xavier University,"Cincinnati, United States",Online / On campus / Blended,Not ranked,Private
Taylor University,"Gas City, United States",Online / On campus,Not ranked,Private
Gallaudet University,"Washington, D. C., United States",Online / On campus / Blended,Not ranked,Private
Coppin State University,"Baltimore, United States",On campus,Not ranked,Public
Berkeley College,"New York City, United States",Online / On campus / Blended,Not ranked,Private
Walsh University,"North Canton, United States",Online / On campus / Blended,Not ranked,Private
University Of Advancing Technology,"Tempe, United States",Online / On campus / Blended,Not ranked,Private
University of South Alabama,"Mobile, United States","Virginia Beach, United States",1789,Public
Regent University,"Virginia Beach, United States",Online / On campus / Blended,Not ranked,Private
High Point University,"High Point, United States",Online / On campus,Not ranked,Private
Philadelphia College of Osteopathic Medicine,Multiple locations,On campus / Blended,Not ranked,Public
The University of Tennessee at Chattanooga,"Chattanooga, United States",Online / On campus,Not ranked,Unknown
Columbus State University,"Columbus, United States",Online / On campus / Blended,Not ranked,Public
Northeastern Illinois University,"Chicago, United States",Online / On campus / Blended,Not ranked,Public
Calvin Theological Seminary,"East Grand Rapids, United States",Online / On campus / Blended,Not ranked,Private
Hampton University,"Hampton, United States",On campus,Not ranked,Private
Stevens Institute of Technology,"Hoboken, United States",Online / On campus / Blended,831,Private
Syracuse University,"Syracuse, United States",Online / On campus,490,Public
James Madison University,Multiple locations,Online / On campus / Blended,2134,Public
University of Texas Southwestern Medical Center,"Dallas, United States",Online / On campus,766,Public
Jacksonville University,"Jacksonville, United States",Online / On campus / Blended,Not ranked,Private
Yale University,"New Haven, United States",Online / On campus / Blended,10,Private
University of Rochester,"Rochester, United States",Online / On campus / Blended,144,Private
SDA Bocconi School of Management,Multiple locations,On campus / Blended,Not ranked,Private
Boston University,Multiple locations,Online / On campus / Blended,73,Private
Clark Atlanta University,"Atlanta, United States",On campus,Not ranked,Private
University of Baltimore,"Baltimore, United States",Online / On campus,Not ranked,Public
Rosalind Franklin University of Medicine and Science,"North Chicago, United States",Online / On campus,Not ranked,Private
University of Louisiana at Lafayette,"Lafayette, United States",Online / On campus,2066,Public
"University of California, Merced","Merced, United States",On campus,592,Public
California State University Sacramento,"Sacramento, United States",Online / On campus / Blended,1658,Public
Bradley University,"Peoria, United States",Online / On campus,Not ranked,Private
Drake University,"Des Moines, United States",Online / On campus / Blended,Not ranked,Private
Morehead State University,"Morehead, United States",On campus,Not ranked,Public
Cal Poly Pomona University,"Pomona, United States",Online / On campus / Blended,Not ranked,Public
Dakota State University,"Madison, United States",Online / On campus / Blended,Not ranked,Public
Saint Ambrose University,"Davenport, United States",Online / On campus,Not ranked,Private
Salus University,"Glenside, United States",Online / On campus / Blended,Not ranked,Private
Mount Saint Mary's University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Dallas Baptist University,"Dallas, United States",Online / On campus / Blended,Not ranked,Private
Manhattan School of Music,"Manhattan, United States",On campus,Not ranked,Private
Bentley University,"Waltham, United States",Online / On campus,Not ranked,Private
University of Portland,Multiple locations,On campus,Not ranked,Private
Weber State University,"Ogden, United States",Online / On campus,Not ranked,Public
Holy Apostles College and Seminary,"Cromwell, United States",Online / On campus,Not ranked,Private
Massachusetts Maritime Academy,"Marion, United States",On campus,Not ranked,Public
Fort Hays State University,"Hays, United States",Online / On campus / Blended,Not ranked,Unknown
Growth Institute,"Austin, United States",Online / On campus,Not ranked,Private
Baldwin Wallace University,"Berea, United States",Online / On campus / Blended,Not ranked,Private
Morehouse School of Medicine,"Atlanta, United States",Online / On campus,Not ranked,Private
Eastern Nazarene College,"Quincy, United States",Online / On campus,Not ranked,Private
Canisius College,"Buffalo, United States",Online / On campus / Blended,Not ranked,Private
Sacred Heart Major Seminary,"Detroit, United States",Online / On campus,Not ranked,Public
