Acceptance Rate,Application Deadline,Application Fee,SAT Range,ACT Range,How would you rate on-campus housing?,How would you rate off-campus housing?,How would you rate campus food?,How would you rate campus facilities?,How would you rate class size?,How would you rate school activities?,How would you rate local services?,How would you rate academics?,University Name,Student Life Reviews,General Info,Table,Quick Facts
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Colorado School of Trades,,,,
%,None,0,None,None,,,,,,,,,Colorado School of Traditional Chinese Medicine,None,,,
77%,None,50,1020-1250,23-28,346 Students rated on-campus housing 3.7 stars. 17 % gave the school a 5.0.,286 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,382 Students rated campus food 3.7 stars. 24 % gave the school a 5.0.,399 Students rated campus facilities 4.1 stars. 39 % gave the school a 5.0.,400 Students rated class size 3.7 stars. 21 % gave the school a 5.0.,396 Students rated school activities 4.3 stars. 48 % gave the school a 5.0.,397 Students rated local services 4.4 stars. 58 % gave the school a 5.0.,400 Students rated academics 3.9 stars. 34 % gave the school a 5.0.,Colorado State University-Fort Collins,,,,
0%,None,25,None,None,,,,,,,,,Colorado State University-Global Campus,None,,,
96%,None,25,870-1060,18-23,74 Students rated on-campus housing 3.7 stars. 18 % gave the school a 5.0.,64 Students rated off-campus housing 3.7 stars. 0 % gave the school a 5.0.,90 Students rated campus food 3.3 stars. 20 % gave the school a 5.0.,104 Students rated campus facilities 4.2 stars. 38 % gave the school a 5.0.,103 Students rated class size 4.4 stars. 52 % gave the school a 5.0.,104 Students rated school activities 3.9 stars. 32 % gave the school a 5.0.,104 Students rated local services 3.9 stars. 39 % gave the school a 5.0.,104 Students rated academics 4.2 stars. 47 % gave the school a 5.0.,Colorado State University-Pueblo,,,,
%,None,0,None,None,,,,,,,,,Colorado State University-System Office,None,,,
100%,None,0,None,None,11 Students rated on-campus housing 4.3 stars. 64 % gave the school a 5.0.,4 Students rated off-campus housing 4.3 stars. 0 % gave the school a 5.0.,11 Students rated campus food 3.8 stars. 45 % gave the school a 5.0.,21 Students rated campus facilities 4.3 stars. 67 % gave the school a 5.0.,22 Students rated class size 4.2 stars. 64 % gave the school a 5.0.,21 Students rated school activities 4 stars. 52 % gave the school a 5.0.,21 Students rated local services 4 stars. 57 % gave the school a 5.0.,21 Students rated academics 4.3 stars. 62 % gave the school a 5.0.,Colorado Technical University-Colorado Springs,,,,
%,None,0,None,None,,,,,,,,,Colorado Technical University-Greenwood Village,None,,,
%,None,0,None,None,,,,,,,,,Colorado Technical University-Online,None,,,
%,None,0,None,None,,,,,,,,,Columbia College-Denver,None,,,
100%,None,0,None,None,7 Students rated on-campus housing 2 stars. 14 % gave the school a 5.0.,5 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,13 Students rated campus food 4.2 stars. 54 % gave the school a 5.0.,14 Students rated campus facilities 4.5 stars. 64 % gave the school a 5.0.,15 Students rated class size 4.8 stars. 80 % gave the school a 5.0.,14 Students rated school activities 2.9 stars. 7 % gave the school a 5.0.,14 Students rated local services 4.1 stars. 43 % gave the school a 5.0.,15 Students rated academics 4.5 stars. 67 % gave the school a 5.0.,Community College of Aurora,,,,
100%,None,0,None,None,38 Students rated on-campus housing 2.3 stars. 11 % gave the school a 5.0.,29 Students rated off-campus housing 3.4 stars. 0 % gave the school a 5.0.,40 Students rated campus food 3.4 stars. 23 % gave the school a 5.0.,40 Students rated campus facilities 4.2 stars. 50 % gave the school a 5.0.,39 Students rated class size 4.5 stars. 54 % gave the school a 5.0.,37 Students rated school activities 3.7 stars. 32 % gave the school a 5.0.,40 Students rated local services 4.6 stars. 68 % gave the school a 5.0.,40 Students rated academics 4.2 stars. 45 % gave the school a 5.0.,Community College of Denver,,,,
%,None,0,None,None,,,,,,,,,Cuttin’ Up Beauty Academy,None,,,
100%,None,0,None,None,1 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,1 Students rated campus food 5 stars. 100 % gave the school a 5.0.,1 Students rated campus facilities 5 stars. 100 % gave the school a 5.0.,1 Students rated class size 5 stars. 100 % gave the school a 5.0.,1 Students rated school activities 5 stars. 100 % gave the school a 5.0.,1 Students rated local services 5 stars. 100 % gave the school a 5.0.,1 Students rated academics 5 stars. 100 % gave the school a 5.0.,Delta Montrose Technical College,,,,
%,None,100,None,None,,,,,,,,,Denver School of Nursing,None,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,1 Students rated campus facilities 3 stars. 0 % gave the school a 5.0.,1 Students rated class size 3 stars. 0 % gave the school a 5.0.,1 Students rated school activities 2 stars. 0 % gave the school a 5.0.,1 Students rated local services 5 stars. 100 % gave the school a 5.0.,1 Students rated academics 3 stars. 0 % gave the school a 5.0.,Denver Seminary,,,,
100%,None,50,None,None,,,,,,,,,Ecotech Institute,None,,,
100%,None,0,None,None,2 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,2 Students rated off-campus housing 2.3 stars. 0 % gave the school a 5.0.,3 Students rated campus food 2.7 stars. 33 % gave the school a 5.0.,3 Students rated campus facilities 2.7 stars. 33 % gave the school a 5.0.,3 Students rated class size 4.7 stars. 67 % gave the school a 5.0.,3 Students rated school activities 1.7 stars. 0 % gave the school a 5.0.,3 Students rated local services 4.3 stars. 33 % gave the school a 5.0.,3 Students rated academics 4.3 stars. 67 % gave the school a 5.0.,Emily Griffith Technical College,,,,
%,None,100,None,None,,,,,,,,,Empire Beauty School-Arvada,None,,,
100%,None,125,None,None,,,,,,,,,Empire Beauty School-Aurora,None,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Empire Beauty School-Lakewood,,,,
100%,None,125,None,None,,,,,,,,,Empire Beauty School-Littleton,None,,,
100%,None,125,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Empire Beauty School-Thornton,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Everest College-Colorado Springs,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Everest College-Thornton,,,,
92%,None,40,940-1120,19-24,50 Students rated on-campus housing 3.4 stars. 10 % gave the school a 5.0.,45 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,58 Students rated campus food 2.6 stars. 7 % gave the school a 5.0.,60 Students rated campus facilities 4 stars. 25 % gave the school a 5.0.,60 Students rated class size 4.6 stars. 72 % gave the school a 5.0.,60 Students rated school activities 4.3 stars. 47 % gave the school a 5.0.,62 Students rated local services 4.2 stars. 50 % gave the school a 5.0.,61 Students rated academics 4.2 stars. 44 % gave the school a 5.0.,Fort Lewis College,,,,
100%,None,0,None,None,55 Students rated on-campus housing 1.5 stars. 7 % gave the school a 5.0.,40 Students rated off-campus housing 3.4 stars. 0 % gave the school a 5.0.,68 Students rated campus food 3 stars. 16 % gave the school a 5.0.,71 Students rated campus facilities 4.2 stars. 39 % gave the school a 5.0.,71 Students rated class size 4.6 stars. 70 % gave the school a 5.0.,70 Students rated school activities 3.7 stars. 33 % gave the school a 5.0.,71 Students rated local services 3.5 stars. 27 % gave the school a 5.0.,71 Students rated academics 4.4 stars. 58 % gave the school a 5.0.,Front Range Community College,,,,
100%,None,100,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Glenwood Beauty Academy,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Hair Dynamics Education Center,,,,
100%,None,50,None,None,,,,,,,,,Healing Arts Institute,None,,,
100%,None,0,None,None,,,,,,,,,Heritage College-Denver,None,,,
100%,None,50,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,IBMC College-Colorado Springs,,,,
100%,None,50,None,None,,,,,,,,,IBMC College-Fort Collins,None,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Iliff School of Theology,,,,
%,None,0,None,None,,,,,,,,,Institute of Taoist Education and Acupuncture,None,,,
100%,None,0,None,None,1 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,1 Students rated campus food 3 stars. 0 % gave the school a 5.0.,1 Students rated campus facilities 5 stars. 100 % gave the school a 5.0.,1 Students rated class size 5 stars. 100 % gave the school a 5.0.,1 Students rated school activities 3 stars. 0 % gave the school a 5.0.,1 Students rated local services 3 stars. 0 % gave the school a 5.0.,1 Students rated academics 5 stars. 100 % gave the school a 5.0.,Intellitec College-Colorado Springs,,,,
100%,None,0,None,None,2 Students rated on-campus housing 4 stars. 50 % gave the school a 5.0.,1 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,2 Students rated campus food 4 stars. 50 % gave the school a 5.0.,2 Students rated campus facilities 4.5 stars. 50 % gave the school a 5.0.,2 Students rated class size 5 stars. 100 % gave the school a 5.0.,2 Students rated school activities 4 stars. 50 % gave the school a 5.0.,2 Students rated local services 4 stars. 50 % gave the school a 5.0.,2 Students rated academics 5 stars. 100 % gave the school a 5.0.,Intellitec College-Grand Junction,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,International Salon and Spa Academy,,,,
52%,None,0,None,None,,,,,,,,,Jones International University,None,,,
100%,None,10,None,None,,,,,,,,,Kaplan College-Denver,None,,,
100%,None,0,None,None,2 Students rated on-campus housing 3 stars. 0 % gave the school a 5.0.,2 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,2 Students rated campus food 2 stars. 0 % gave the school a 5.0.,2 Students rated campus facilities 3.5 stars. 50 % gave the school a 5.0.,2 Students rated class size 4.5 stars. 50 % gave the school a 5.0.,2 Students rated school activities 2.5 stars. 0 % gave the school a 5.0.,2 Students rated local services 3 stars. 50 % gave the school a 5.0.,2 Students rated academics 3.5 stars. 0 % gave the school a 5.0.,Lamar Community College,,,,
100%,None,0,None,None,5 Students rated on-campus housing 3.3 stars. 40 % gave the school a 5.0.,2 Students rated off-campus housing 4.7 stars. 0 % gave the school a 5.0.,4 Students rated campus food 3.3 stars. 25 % gave the school a 5.0.,5 Students rated campus facilities 4.8 stars. 80 % gave the school a 5.0.,5 Students rated class size 5 stars. 100 % gave the school a 5.0.,5 Students rated school activities 2.5 stars. 40 % gave the school a 5.0.,5 Students rated local services 4.8 stars. 80 % gave the school a 5.0.,5 Students rated academics 4.8 stars. 80 % gave the school a 5.0.,Lincoln College of Technology-Denver,,,,
100%,None,25,None,None,,,,,,,,,Massage Therapy Institute of Colorado,None,,,
63%,None,25,880-1100,17-23,93 Students rated on-campus housing 2.8 stars. 9 % gave the school a 5.0.,78 Students rated off-campus housing 3.4 stars. 0 % gave the school a 5.0.,115 Students rated campus food 3.5 stars. 22 % gave the school a 5.0.,123 Students rated campus facilities 4.1 stars. 34 % gave the school a 5.0.,124 Students rated class size 4.4 stars. 58 % gave the school a 5.0.,123 Students rated school activities 3.7 stars. 32 % gave the school a 5.0.,124 Students rated local services 4.3 stars. 50 % gave the school a 5.0.,123 Students rated academics 4.3 stars. 53 % gave the school a 5.0.,Metropolitan State University of Denver,,,,
100%,None,150,None,None,,,,,,,,,Montage Academy,None,,,
100%,None,100,None,None,,,,,,,,,Montessori Casa International,None,,,
100%,None,250,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Montessori Education Center of the Rockies,,,,
100%,None,0,None,None,2 Students rated on-campus housing 4 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,2 Students rated campus food 4 stars. 0 % gave the school a 5.0.,2 Students rated campus facilities 4 stars. 0 % gave the school a 5.0.,2 Students rated class size 3 stars. 0 % gave the school a 5.0.,2 Students rated school activities 4 stars. 0 % gave the school a 5.0.,2 Students rated local services 5 stars. 50 % gave the school a 5.0.,2 Students rated academics 5 stars. 50 % gave the school a 5.0.,Morgan Community College,,,,
100%,None,50,None,None,4 Students rated on-campus housing 4 stars. 25 % gave the school a 5.0.,4 Students rated off-campus housing 3.7 stars. 0 % gave the school a 5.0.,4 Students rated campus food 4 stars. 0 % gave the school a 5.0.,5 Students rated campus facilities 3.8 stars. 0 % gave the school a 5.0.,5 Students rated class size 4.8 stars. 80 % gave the school a 5.0.,5 Students rated school activities 2.8 stars. 0 % gave the school a 5.0.,5 Students rated local services 4.5 stars. 80 % gave the school a 5.0.,5 Students rated academics 4 stars. 20 % gave the school a 5.0.,Naropa University,,,,
100%,None,0,None,None,,,,,,,,,National American University-Centennial,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,1 Students rated campus facilities 3 stars. 0 % gave the school a 5.0.,1 Students rated class size 4 stars. 0 % gave the school a 5.0.,1 Students rated school activities 1 stars. 0 % gave the school a 5.0.,1 Students rated local services 4 stars. 0 % gave the school a 5.0.,1 Students rated academics 2 stars. 0 % gave the school a 5.0.,National American University-Colorado Springs,,,,
100%,None,0,None,None,,,,,,,,,National American University-Colorado Springs South,None,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,National American University-Denver,,,,
%,None,0,None,None,,,,,,,,,National American University-Westwood Teach-Out Site,None,,,
100%,None,100,None,None,,,,,,,,,National Beauty College-Denver,None,,,
100%,None,75,None,None,,,,,,,,,National Personal Training Institute of Colorado-Colorado Springs,None,,,
100%,None,75,None,None,,,,,,,,,National Personal Training Institute of Colorado-Lakewood,None,,,
100%,None,0,None,None,2 Students rated on-campus housing 4 stars. 50 % gave the school a 5.0.,1 Students rated off-campus housing 4.8 stars. 0 % gave the school a 5.0.,1 Students rated campus food 3 stars. 0 % gave the school a 5.0.,5 Students rated campus facilities 4.6 stars. 60 % gave the school a 5.0.,6 Students rated class size 5 stars. 100 % gave the school a 5.0.,5 Students rated school activities 4 stars. 60 % gave the school a 5.0.,5 Students rated local services 4.6 stars. 80 % gave the school a 5.0.,5 Students rated academics 5 stars. 100 % gave the school a 5.0.,Nazarene Bible College,,,,
100%,None,50,None,None,,,,,,,,,New Dimensions Beauty Academy Inc,None,,,
100%,None,0,None,None,12 Students rated on-campus housing 4.5 stars. 50 % gave the school a 5.0.,10 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,12 Students rated campus food 3.8 stars. 25 % gave the school a 5.0.,13 Students rated campus facilities 4.5 stars. 54 % gave the school a 5.0.,13 Students rated class size 4.7 stars. 77 % gave the school a 5.0.,12 Students rated school activities 4.4 stars. 50 % gave the school a 5.0.,13 Students rated local services 3.8 stars. 31 % gave the school a 5.0.,13 Students rated academics 4.7 stars. 69 % gave the school a 5.0.,Northeastern Junior College,,,,
100%,None,0,None,None,8 Students rated on-campus housing 4 stars. 25 % gave the school a 5.0.,6 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,8 Students rated campus food 2.7 stars. 13 % gave the school a 5.0.,8 Students rated campus facilities 4.7 stars. 63 % gave the school a 5.0.,8 Students rated class size 4.6 stars. 75 % gave the school a 5.0.,8 Students rated school activities 4.3 stars. 38 % gave the school a 5.0.,6 Students rated local services 2.8 stars. 0 % gave the school a 5.0.,8 Students rated academics 4.6 stars. 75 % gave the school a 5.0.,Otero Junior College,,,,
100%,None,100,None,None,,,,,,,,,Paul Mitchell the School-Colorado Springs,None,,,
100%,None,100,None,None,,,,,,,,,Paul Mitchell the School-Denver,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,2 Students rated campus food 4.5 stars. 50 % gave the school a 5.0.,2 Students rated campus facilities 5 stars. 100 % gave the school a 5.0.,2 Students rated class size 5 stars. 100 % gave the school a 5.0.,1 Students rated school activities 5 stars. 100 % gave the school a 5.0.,2 Students rated local services 4 stars. 0 % gave the school a 5.0.,2 Students rated academics 5 stars. 100 % gave the school a 5.0.,Pickens Technical College,,,,
100%,None,0,None,None,41 Students rated on-campus housing 1.5 stars. 10 % gave the school a 5.0.,38 Students rated off-campus housing 2.8 stars. 0 % gave the school a 5.0.,58 Students rated campus food 3.1 stars. 12 % gave the school a 5.0.,59 Students rated campus facilities 4 stars. 34 % gave the school a 5.0.,60 Students rated class size 4.4 stars. 55 % gave the school a 5.0.,58 Students rated school activities 3.3 stars. 17 % gave the school a 5.0.,59 Students rated local services 3.8 stars. 25 % gave the school a 5.0.,59 Students rated academics 4.2 stars. 36 % gave the school a 5.0.,Pikes Peak Community College,,,,
100%,None,0,None,None,,,,,,,,,Pima Medical Institute-Aurora,None,,,
100%,None,0,None,None,,,,,,,,,Pima Medical Institute-Colorado Springs,None,,,
100%,None,0,None,None,,,,,,,,,Pima Medical Institute-Denver,None,,,
0%,None,75,None,None,1 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,1 Students rated campus food 2 stars. 0 % gave the school a 5.0.,1 Students rated campus facilities 4 stars. 0 % gave the school a 5.0.,1 Students rated class size 5 stars. 100 % gave the school a 5.0.,1 Students rated school activities 2 stars. 0 % gave the school a 5.0.,1 Students rated local services 4 stars. 0 % gave the school a 5.0.,1 Students rated academics 4 stars. 0 % gave the school a 5.0.,Platt College-Aurora,,,,
100%,None,25,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Prince Institute-Rocky Mountains,,,,
100%,None,0,None,None,25 Students rated on-campus housing 1.8 stars. 16 % gave the school a 5.0.,17 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,33 Students rated campus food 4 stars. 55 % gave the school a 5.0.,34 Students rated campus facilities 4.3 stars. 59 % gave the school a 5.0.,35 Students rated class size 4.6 stars. 74 % gave the school a 5.0.,34 Students rated school activities 3.7 stars. 44 % gave the school a 5.0.,35 Students rated local services 3.6 stars. 49 % gave the school a 5.0.,35 Students rated academics 4.4 stars. 69 % gave the school a 5.0.,Pueblo Community College,,,,
100%,None,0,None,None,15 Students rated on-campus housing 1.9 stars. 20 % gave the school a 5.0.,8 Students rated off-campus housing 4.1 stars. 0 % gave the school a 5.0.,16 Students rated campus food 3.5 stars. 19 % gave the school a 5.0.,16 Students rated campus facilities 4.6 stars. 63 % gave the school a 5.0.,16 Students rated class size 4.6 stars. 63 % gave the school a 5.0.,16 Students rated school activities 4.1 stars. 38 % gave the school a 5.0.,16 Students rated local services 3.7 stars. 38 % gave the school a 5.0.,16 Students rated academics 4.4 stars. 44 % gave the school a 5.0.,Red Rocks Community College,,,,
%,None,0,None,None,,,,,,,,,Regency Beauty Institute-Fort Collins,None,,,
%,None,0,None,None,,,,,,,,,Regency Beauty Institute-Lakewood,None,,,
%,None,0,None,None,,,,,,,,,Regency Beauty Institute-Westminster,None,,,
56%,None,50,950-1170,22-26,68 Students rated on-campus housing 3.8 stars. 18 % gave the school a 5.0.,55 Students rated off-campus housing 3.4 stars. 0 % gave the school a 5.0.,74 Students rated campus food 3.2 stars. 12 % gave the school a 5.0.,82 Students rated campus facilities 4.4 stars. 54 % gave the school a 5.0.,83 Students rated class size 4.7 stars. 81 % gave the school a 5.0.,82 Students rated school activities 3.8 stars. 32 % gave the school a 5.0.,83 Students rated local services 3.9 stars. 34 % gave the school a 5.0.,84 Students rated academics 4.1 stars. 48 % gave the school a 5.0.,Regis University,,,,
%,None,0,None,None,,,,,,,,,Relay Graduate School of Education – Denver,None,,,
80%,None,0,None,None,,,,,,,,,Remington College-Colorado Springs Campus,None,,,
100%,None,50,None,None,10 Students rated on-campus housing 1.9 stars. 0 % gave the school a 5.0.,7 Students rated off-campus housing 3.4 stars. 0 % gave the school a 5.0.,11 Students rated campus food 2.6 stars. 0 % gave the school a 5.0.,13 Students rated campus facilities 3.6 stars. 31 % gave the school a 5.0.,14 Students rated class size 4.1 stars. 79 % gave the school a 5.0.,13 Students rated school activities 3.2 stars. 23 % gave the school a 5.0.,13 Students rated local services 3.5 stars. 38 % gave the school a 5.0.,14 Students rated academics 3.8 stars. 50 % gave the school a 5.0.,Rocky Mountain College of Art and Design,,,,
%,None,0,None,None,,,,,,,,,Rocky Vista University,None,,,
100%,None,50,None,None,,,,,,,,,Rolf Institute of Structural Integration,None,,,
%,None,0,None,None,,,,,,,,,Southwest Acupuncture College-Boulder,None,,,
100%,None,100,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Spartan College of Aeronautics and Technology-Broomfield,,,,
100%,None,100,None,None,,,,,,,,,Spartan College of Aeronautics and Technology-Westminster,None,,,
%,None,150,None,None,,,,,,,,,Summit Salon & Beauty School,None,,,
100%,None,75,None,None,,,,,,,,,Taft University System,None,,,
%,None,50,None,None,,,,,,,,,The Colorado Center for Medical Laboratory Science,None,,,
100%,None,0,None,None,,,,,,,,,The Salon Professional Academy-Colorado Springs,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,The Salon Professional Academy-Grand Junction,,,,
100%,None,0,None,None,,,,,,,,,Toni & Guy Hairdressing Academy-Colorado Springs,None,,,
